Unnamed: 0,Text,Grade
0,"High above there is the Moon, cold and quiet, no air, no life, but glowing in the sky.
Here below there are three men who close themselves in special clothes, who--click--lock hands in heavy gloves, who--click--lock heads in large round helmets. 
It is summer here in Florida, hot, and near the sea. But now these men are dressed for colder, stranger places. They walk with stiff and awkward steps in suits not made for Earth. 
They have studied and practiced and trained, and said good-bye to family and friends. If all goes well, they will be gone for one week, gone where no one has been. 
Their two small spaceships are Columbia and Eagle. They sit atop the rocket that will raise them into space, a monster of a machine: It stands thirty stories, it weighs six million pounds, a tower full of fuel and fire and valves and pipes and engines, too big to believe, but built to fly--the mighty, massive Saturn V. 
The astronauts squeeze in to Columbia's sideways seats, lying on their backs, facing toward the sky--Neil Armstrong on the left, Michael Collins in the right, Buzz Aldrin in the middle. 
Click and they fasten straps. 
Click and the hatch is sealed. 
There they wait, while the Saturn hums beneath them. 
Near the rocket, in Launch Control, and far away in Houston, in Mission Control, there are numbers, screens, and charts, ways of watching and checking every piece of the rocket and ships, the fuel, the valves, the pipes, the engines, the beats of the astronauts' hearts. 
As the countdown closes, each man watching is asked the question: GO/NO GO? 
And each man answers back: ""GO."" ""GO."" ""GO."" 
Apollo 11 is GO for launch. 
",0.0
1,"""A 'From Seed to Plant' Project."" 
How to raise bean plants. 
1. Find a clean glass jar. Take a piece of black construction paper and roll it up. 
2. Slide the paper into the jar. Fill the jar with water. 
3. Wedge the bean seeds between the black paper and the glass. Put the jar in a warm place. 
4. In a few days the seeds will begin to sprout. Watch the roots grow down. The shoots will grow up. 
5. Put dirt into a big clay pot. 
6. Carefully remove the small plants from the glass jar. Place them in the soil, covering them up to the base of their shoots. 
7. Water them... and watch them grow. 
",0.0
2,"I wiped my hands on my apron and went to the window. Outside, the prairie reached out and touched the places where the sky came down. Though the winter was nearly over, there were patches of snow everywhere. I looked at the long dirt road that crawled across the plains, remembering the morning that Mama had died, cruel and sunny. They had come for her in a wagon and taken her away to be buried. And then the cousins and aunts and uncles had come and tried to fill up the house. But they couldn't.
Slowly, one by one, they left. And then the days seemed long and dark like winter days, even though it wasn't winter. And Papa didn't sing.
",0.0
3,"Sunshine warms the earth.
If the sun stopped shining, the earth would get colder and colder. We would freeze. The whole earth would freeze. 
The sun shines all through the year. But we are warmer in summer than in winter. The amount of sunshine makes the difference. 
The earth spins around, or rotates, once in twenty-four hours. That's why we have a day and night. When we are on the sun side of the earth, there is daylight. As the earth rotates, we turn away from the sun. There is sunset and then night. 
At the same time that the earth spins, it goes around the sun. The earth takes a year to make one trip around the sun. 
During a year the length of our day changes. In winter the days are short. It may be dark by the time you get home from school. It is cold because we don't get many hours of sunshine. 
As we move into spring, days become longer, by summer they are even longer. 
The days may be so long that it is still light when you go to bed. It is warm because we get many hours of sunshine. After the long days of summer, the days begin to get shorter and cooler. It is fall and time to go back to school. 
All through the year the earth had been rotating once in twenty-four hours, giving us day and night. And all through the year the lengths of darkness and daylight have been changing. The seasons have been changing too. 
",0.0
8,"On the first day of our village school in Japan, there was a boy missing. 
He was found hidden away in the dark space underneath the schoolhouse floor. 
None of use knew him. He was nicknamed Chibi because he was very small. Chibi means ""tiny boy."" 
This strange boy was afraid of our teacher and could not learn a thing. 
He was afraid of the children and could not make friends with them at all. 
He was left alone in the study time. 
He was left alone in the play time. 
He was always at the end of the line, always at the foot of the class, a forlorn little tag-along. 
Soon Chibi began to make his eyes cross eyed so that he was not able to see whatever he did not want to see.
And Chibi found many ways, one after another, to kill time and amuse himself. 
Just the ceiling was interesting enough for him to watch for hours. 
The wooden top of his desk was another interesting thing to watch. 
A patch of cloth on a boyÕs shoulder was something to study. 
Of course the window showed him many things all year round. 
Even when it was raining the window had surprising things to show him.
On the playground, if he closed his eyes and listened, Chibi could hear many different sounds, near and far. 
And Chibi could hold and watch insects and grubs that most of us wouldnÕt touch or even look it. 
So that not only the children in our class but the older ones and even the younger ones called him stupid and slowpoke.
But, slowpokes or not, day after day Chibi came trudging to school. 
He always carried the same lunch, a rice ball wrapped in a radish leaf. 
Even when it rained or stormed he still came trudging along, wrapped in a raincoat made from dried zebra grass. 
And so, day by day, five years went by, and we were in the sixth grade, the last class in school.
",0.0
9,"Once upon a time there lived a very lazy bear who had lots of money and lots of land. His father had been a hard worker and a smart business bear, and he had given all of his wealth to his son. 
But all Bear wanted to do was sleep. 
Not far down the road lived a hare. Although Hare was clever, he sometimes got into trouble. He had once owned land, too, but now he had nothing. He had lost a risky bet with a tortoise and had sold off all of his land to Bear to pay off the debt. 
Hare and his family were in very bad shape.
""The children are so hungry father bear! We must think of something!"" Mrs. Hare cried one day. So Hare and Mrs. Hare put their heads together and cooked up a plan.
Bear stared at his pile. ""But, Hare, all the best parts are in your half!"" 
""You chose the tops, Bear,"" Hare said. 
""Now, Hare, you've tricked me. You plant this field again--and this season I want the bottoms!"" 
Hare agreed. ""It's a done deal, Bear."" 
",0.0
10,"My little brother, Huey, my best friend, Gloria, and I were sitting on our front steps. It was one of those hot summer days when everything stands still. We didn't know what to do. We were watching the grass grow. It didn't grow fast. 
""You know something?"" Gloria said. ""This is a slow day."" 
""It's so slow the dogs don't bark,"" Huey said. 
""It's so slow the flies don't fly,"" Gloria said. 
""It's so slow ice cream wouldn't melt,"" I said. 
""If we had any ice cream,"" Huey said. 
""But we don't,"" Gloria said. 
We watched the grass some more. 
""We'd better do something,"" I said. 
""Like what?"" Gloria asked. 
""We could go visit Dad,"" Huey said. 
""That's a terrible idea,"" I said. 
""Why? Huey asked. ""I like visiting Dad."" 
My father has a shop about a mile from our house where he fixes cars. Usually it is fun to visit him. If he has customers, he always introduces us as if we were important guests. If he doesn't have company, sometimes he lets us ride in the cars he puts up on the lift. Sometimes he buys us treats. 
""Huey,"" I said, ""Usually, visiting Dad is a good idea. Today, it's a dangerous idea."" 
""Why?"" Gloria asked. 
""Because we're bored,"" I said. ""My dad hates it when people are bored. He says the world is so interesting nobody should ever be bored."" 
""I see,"" Gloria said, as if she didn't. 
""So we'll go see him,"" Huey said, ""and we just won't tell him we're bored. We're bored, but we won't tell him."" 
""Just so you remember that!"" I said. 
""Oh, I'll remember,"" Huey said. 
Huey was wearing his angel look. When he has that look you know he'll never remember anything. 
",0.0
11,"This island is covered with snow. No trees grow. Nothing has green leaves. The land is white as far as you can see. 
Then something small and round and black pokes up out of the snow. 
A black nose sniffs the air. Then a smooth white head appears. A mother polar bear heaves herself out of her den. 
A cub scrambles after her. 
When the cub was born four months ago, he was no bigger than a guinea pig. Blind and helpless, he snuggled in his mother's fur. He drank her milk and grew, safe from the long Arctic winter. 
Outside the den, on some days, it was fifty degrees below zero. From October to February, the sun never rose. 
Now it is spring--even though snow still covers the land. The cub is about the size of a cocker spaniel. He's ready to leave the den. For the first time, he sees bright sunlight and feels the wind ruffle his fur. 
The cub tumbles and slides down icy hills. His play makes him strong and teaches him to walk and run in snow. 
Like his mother, the cub is built to survive in the Arctic. His white fur will grow to be six inches thick--longer than your hand. The skin beneath the cub's fur is black. It soaks up the heat of the sun. Under the skin is a layer of fat. Like a snug blanket, this blubber keeps in the heat of the bear's body. 
Polar bears get too hot more easily than they get too cold. They stretch out on the ice to cool off. 
",0.0
12,"A hideous giant lumbered into the clearing. He carried nearly half a forest's worth of wood on his back. His monstrous head jutted from his body like a shaggy mountain peak. A single eye bulged in the center of his forehead. 
The monster was Polyphemus. He was the most savage of all the Cyclopes, a race of fierce one-eyed giants who lived without laws or leader. The Cyclopes were ruthless creatures who were known to capture and devour any sailors who happened near their shores. 
Polyphemus threw down his pile of wood. As it crashed to the ground, Odysseus and his men fled to the darkest corners of the cave. 
Unaware that the Greeks were hiding inside, Polyphemus drove his animals into the cave. Then he rolled a huge boulder over its mouth to block out the light of day and imprison his flock inside. 
Twenty-four wagons could not haul that rock away, Odysseus thought desperately. How will we escape this monster? 
Odysseus' men trembled with terror as the giant made a small fire and milked his goats in the shadowy light. His milking done, he threw more wood on his fire. The flame blazed brightly, lighting up the corners of the cave where Odysseus and his men were hiding. 
""What's this? Who are you? From where do you come?"" the giant boomed. He glared at the Greeks with his single eye. ""Are you pirates who steal the treasure of others?"" 
Odysseus' men were frozen with terror. But Odysseus hid his own fear and stepped toward the monster. 
""We are not pirates,"" he said, ""We are Greeks blown off course by storm winds. Will you offer us the gift of hospitality like a good host? If you do, mighty Zeus, king of the gods, will be pleased. Zeus is the guardian of all strangers."" 
""Fool!"" the giant growled. ""Who are you to tell me to please Zeus? I am a son of Poseidon, god of the seas! I am not afraid of Zeus!"" 
Odysseus' men cowered in fear. 
Polyphemus moved closer to Odysseus. He spoke in a soft, terrible voice. ""But tell me, stranger, where is your ship? Near or far from shore?"" 
Odysseus knew Polyphemus was trying to trap him. ""Our ship was destroyed in the storm,"" he lied. ""It was dashed against the rocks. With these good men I escaped, I ask you again, will you welcome us?"" 
",0.0
13,"Has this ever happened to you? 
You find a loose tooth in your mouth. 
Yikes! You can wiggle it with your finger. 
You can push it back and forth with your tongue. 
Then one day it falls out. 
There you are with your old baby tooth in your hand and a big hole in your mouth. 
It happens to everyone, everywhere, all over the world. 
""Look! Look! My tooth fell out! My tooth fell out!"" 
But what happens next? 
What in the world do you do with your tooth? 
North America. 
United States. 
I put my tooth under my pillow. While I'm sound asleep, the Tooth Fairy will come into my room, take my tooth, and leave some money in its place. 
Mexico. 
When I go to sleep, I leave my tooth in a box on the bedside table. I hope El Raton, the magic mouse, will take my tooth and bring me some money. He leaves more money for a front tooth. 
Yupik. 
My mother wraps my tooth in a food, like meat or bread. Then I feed it to a female dog and say, ""Replace this tooth with a better one."" 
Yellowknife Dene. 
My mother or grandmother takes my tooth and puts it in a tree and then my family dances around it. This makes certain that my new tooth will grow in as straight as a tree. 
Navajo. 
My mother saves my tooth until my mouth stops hurting. Then we take my tooth to the southeast, away from our house. We bury the tooth on the east side of a healthy young sagebrush, rabbit bush, or pinyon tree because we believe that east is the direction associated with childhood. 
",0.0
